Time,Connectivity,Reachability
52.67,0,0.27
52.83,0,0.27
53.00,0,0.27
53.17,0,0.27
53.33,0,0.27
53.50,0,0.27
53.67,0,0.27
53.83,0,0.27
54.00,0,0.27
54.17,0,0.27
54.33,0,0.27
54.50,0,0.27
54.67,0,0.27
54.83,0,0.27
55.00,0,0.27
55.17,0,0.27
55.33,0,0.27
55.50,0,0.27
55.67,0,0.27
55.83,0,0.27
56.00,0,0.27
56.17,0,0.27
56.33,0,0.27
56.50,0,0.27
56.67,0,0.27
56.83,0,0.27
57.00,0,0.27
57.17,0,0.27
57.33,0,0.27
57.50,0,0.27
57.67,0,0.27
57.83,0,0.27
58.00,0,0.27
58.17,0,0.27
58.33,0,0.27
58.50,0,0.27
58.67,0,0.27
58.83,0,0.27
59.00,0,0.27
59.17,0,0.27
59.33,0,0.31
59.50,0,0.64
59.67,1,1.00
59.83,1,1.00
60.00,1,1.00
60.00,1,1.00
60.17,1,1.00
60.33,1,1.00
60.50,1,1.00
60.67,1,1.00
60.83,0,0.53
61.00,0,0.53
61.17,0,0.53
61.33,0,0.53
61.50,0,0.53
61.67,0,0.53
61.83,0,0.53
62.00,0,0.53
62.17,0,0.53
62.33,0,0.53
62.50,0,0.53
62.67,0,0.53
62.83,0,0.53
63.00,0,0.53
63.17,0,0.53
63.33,0,0.53
63.50,0,0.53
63.67,0,0.53
63.83,0,0.40
64.00,0,0.40
64.17,0,0.40
64.33,0,0.40
64.50,0,0.40
64.67,0,0.40
64.83,0,0.40
65.00,0,0.40
65.17,0,0.40
65.33,0,0.40
65.50,0,0.40
65.67,0,0.40
65.83,0,0.40
66.00,0,0.40
66.17,0,0.40
66.33,0,0.40
66.50,0,0.40
66.67,0,0.40
66.83,0,0.40
67.00,0,0.40
67.17,0,0.40
67.33,0,0.40
67.50,0,0.40
67.67,0,0.40
67.83,0,0.40
68.00,0,0.40
68.17,0,0.40
68.33,0,0.40
68.50,0,0.40
68.67,0,0.40
68.83,0,0.40
69.00,0,0.40
69.17,0,0.40
69.33,0,0.40
69.50,0,0.40
69.67,0,0.40
69.83,0,0.40
70.00,0,0.40
70.17,0,0.40
70.33,0,0.40
70.50,0,0.40
70.67,0,0.40
70.83,0,0.40
71.00,0,0.40
71.17,0,0.40
